Name,Review
Jenna Lesman,"We met for coffee at Fox in the Snow Cafe. She had a nice and bubbly personality. She talked a lot about politics and and her major whuch was Civil Engineering. Overall, she seemed like an interesting person with a good sense of humor."
Margot Stevens,"Went to Candados which had a loud atmosphere. She was smart, nice and quite talkative. She laughed at almost everything I said, which was a good sign. Seemed easy-going, would go on a second date."
Adrian Wilson,Went to get ice-cream. She used her phone a lot during the date and complained a lot about her friends. Didn't maintain conversation too well but had a good sense of humor and told a lot of jokes.
Emily Sharpe,"We decided to meet at Panera. She was very set on paying for herself. Talked a lot about her ex-boyfriend who if I recall was Mormon? She cared a lot about school, and seemed extremely confident and smart. Talked for a long time. Overall, went pretty well"
Rachel Poppers,"Got ice-cream at Graeter's, she was a very kind person and loved telling corny jokes. Really into sports, loved Ohio State football and was very passionate about playing soccer and runnng. Was a great date."
Pooja Gupta,"Went to grab a bite at the food-court of the local mall. She loved talking about music and was trying to learn how to sing. Was very passionate about helping other people and wanted to pursue a carrer in social work. Was a very positive, genuine and caring person. Had a great time."
Max Wilson,"Grabbed some food at Barrio. He talked a lot about cooking and contantly wanting to try new cuizines. Was very focused on school, and doing research at the lab where he worked. Seemed like a passionate and interesting guy."
Jacob Neczypor,We went to get drinks and dinner at Cazuelas. He was really psyched about the OSU game on Sunday and was very enthusiastic about the NBA as well. He was a business major and seemed outgoing and confident. Had a fun time
Dan Peters,Got lunch at Hot Chicken Takeover. He kept bragging about how much spicy food he could eat and laughed when I said I could not handle it. Did not ask me much about myself and kept talking about how smart and athletic he was. He was arrogant and cocky; Would not go out with him again.
Luke Meyer,Met up with him for drinks and dinner. He was funny and cute. I was laughing throughout the date and had a great time. He also seemed very passionate about his career goals and his family. Would definitely like to have another date with him.
Turner Kendal,"Went to Olive Tree for dinner. Our conversation went pretty well. He likes to talk about multi cultures, his hometown, and current world’s events. He seems to be a good conversationalist and understanding. Though he can’t stand the idea of being a vegan or dating a vegan. "
